Nuclide,C m2 / kg MBq s,f-factor (cGy/R),HVL,QVL,TVL,CVL,MVL,R/s at 1m
Be-7,5.54E-14,0.876,4.35,8.33,13.4,25.6,37.7,2.147E-10
C-11,1.13E-12,0.876,4.95,9.46,15.1,28.9,42.5,4.380E-09
F-18,1.10E-12,0.876,4.95,9.46,15.1,28.9,42.5,4.264E-09
Na-22,2.29E-12,0.965,9.2,19.9,35.7,75.8,114,8.876E-09
Mg-28,1.48E-12,0.951,11.3,24.2,40.7,81,120,5.736E-09
S-38,1.50E-12,0.965,20.7,37.5,58.9,110,158,5.814E-09
Cl-39,1.43E-12,0.965,14.8,29.1,46.9,89.3,131,5.543E-09
Ar-41,1.27E-12,0.965,16.1,29.6,46.6,86.8,126,4.922E-09
K-40,1.51E-13,0.965,17.6,32.3,50.8,94.7,137,5.853E-10
K-42,2.65E-13,0.965,18.2,33.3,52.3,97.4,141,1.027E-09
K-43,1.06E-12,0.965,4.62,9.62,16.8,36.5,58.8,4.109E-09
K-44,2.17E-12,0.965,17.2,32.4,52,102,152,8.411E-09
K-45,1.68E-12,0.965,16.8,32.9,53.1,102,150,6.512E-09
Ca-47,1.05E-12,0.965,15.1,28.5,45.2,85.5,124,4.070E-09
Sc-43,1.09E-12,0.965,4.7,9.08,14.7,28.5,42.2,4.225E-09
Sc-44,2.26E-12,0.965,8.49,18,32.1,68.8,105,8.760E-09
Sc-47,1.03E-13,0.876,0.492,0.86,1.33,2.47,3.61,3.992E-10
Sc-48,3.43E-12,0.965,13.9,25.9,41,77.9,115,1.329E-08
Ti-44,1.35E-13,0.948,0.222,0.443,0.742,1.53,2.35,5.233E-10
Ti-45,9.68E-13,0.965,4.97,9.49,15.2,29.3,44.5,3.752E-09
V-47,1.10E-12,0.965,4.99,9.53,15.3,30.1,50.3,4.264E-09
V-48,3.00E-12,0.965,11.7,23.5,39,77.6,116,1.163E-08
V-49,3.00E-12,0.965,11.7,23.5,39,77.6,116,1.163E-08
V-50,1.37E-12,0.965,17.1,32,50.8,96.2,140,5.310E-09
Cr-48,4.50E-13,0.963,1.26,3.05,5.47,12.6,23.6,1.744E-09
Cr-49,1.15E-12,0.962,4.39,8.92,14.6,28.6,43.1,4.457E-09
Cr-51,3.44E-14,0.876,1.92,3.74,6.07,11.8,17.5,1.333E-10
Mn-51,1.11E-12,0.965,4.97,9.5,15.2,29.4,44.8,4.302E-09
Mn-52,3.56E-12,0.965,11.9,23.4,38.8,79,119,1.380E-08
Mn-53,2.47E-12,0.965,9.6,21.3,38.9,82.6,125,9.574E-09
Mn-54,8.97E-13,0.876,10.1,19,29.9,56.3,81.9,3.477E-09
Mn-56,1.65E-12,0.965,14.1,27,44.7,92.7,141,6.395E-09
Fe-55,3.09E-12,0.965,13,25,40.9,82.4,125,1.198E-08
Fe-59,1.20E-12,0.965,14.7,27.3,43.1,80.9,118,4.651E-09
Fe-60,1.20E-12,0.965,14.7,27.3,43.1,80.9,118,4.651E-09
Co-55,2.12E-12,0.965,8.06,16.8,29.9,66.4,105,8.217E-09
Co-56,3.46E-12,0.965,14.5,28.2,46.7,95.5,146,1.341E-08
Co-57,1.09E-13,0.961,0.298,0.533,0.85,2.39,24,4.225E-10
Co-58,1.05E-12,0.965,8.85,17,27.5,53.7,80.3,4.070E-09
Co-60,2.50E-12,0.965,15.6,28.8,45.3,84.7,123,9.690E-09
Co-61,1.02E-13,0.946,0.69,8.35,21,50.2,78,3.953E-10
Ni-56,1.81E-12,0.965,7.46,16.3,28.3,62.1,101,7.016E-09
Ni-57,1.92E-12,0.965,12.5,26.4,44.7,89.3,133,7.442E-09
Ni-59,1.92E-12,0.965,12.5,26.4,44.7,89.3,133,7.442E-09
Ni-65,5.49E-13,0.965,15.7,29.7,47.3,90,132,2.128E-09
Cu-60,3.83E-12,0.965,12.1,25.8,44.6,92.2,140,1.484E-08
Cu-61,9.06E-13,0.965,5.2,10.3,17.4,40.7,74.7,3.512E-09
Cu-64,2.04E-13,0.965,5.11,9.81,16,34.5,68.3,7.907E-10
Zn-62,5.01E-13,0.956,4.9,9.97,16.4,32.7,49.7,1.942E-09
Zn-63,1.21E-12,0.965,5.38,10.4,17.3,39.5,74.6,4.690E-09
Zn-65,5.94E-13,0.965,13.5,25.4,40.2,75.5,110,2.302E-09
Zn-69,5.94E-13,0.965,13.5,25.4,40.2,75.5,110,2.302E-09
Zn-72,1.88E-13,0.959,0.243,0.589,1.04,2.26,3.78,7.287E-10
Ga-65,1.26E-12,0.963,4.95,10.1,17.1,39.9,75.6,4.884E-09
Ga-66,2.24E-12,0.965,12.8,27.7,48.7,103,156,8.682E-09
Ga-67,1.55E-13,0.961,0.861,2.23,4.8,13.9,34,6.008E-10
Ga-68,1.05E-12,0.965,5.12,9.84,16,33.8,61.7,4.070E-09
Ga-72,2.60E-12,0.965,14,27.4,46,96.2,147,1.008E-08
Ga-73,3.75E-13,0.962,2.14,4.54,9.6,35.5,64,1.453E-09
Ge-66,7.50E-13,0.958,3.62,8.2,15.3,42.5,82,2.907E-09
Ge-67,1.52E-12,0.965,5.37,11.4,21.1,59.5,106,5.891E-09
Ge-68,1.52E-12,0.965,5.37,11.4,21.1,59.5,106,5.891E-09
